,,,,,,,,
PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)",Year
Justin Champagnie,PF,11.94,3.14,3.34,27,35,-,2021
Josh Christopher,SG,11.32,3.3,3.14,29.5,37.5,-,2021
Sharife Cooper,PG,-,-,-,-,-,-,2021
Cade Cunningham,PG,-,-,-,-,-,-,2021
Ayo Dosunmu,SG,11.51,3.27,3.23,27,33.5,-,2021
David Duke Jr.,SG,11.21,3.19,3.08,30,39,-,2021
Kessler Edwards,PF,11.3,3.38,3.25,28,37,-,2021
Luka Garza,C,11.9,3.38,3.51,24,29.5,-,2021
RaiQuan Gray,PF,11.69,3.3,3.25,26.5,31.5,-,2021
Jalen Green,SG,-,-,-,-,-,-,2021
Quentin Grimes,SG,11.09,3.33,3.07,30.5,38.5,-,2021
Sam Hauser,SF,11.14,3.07,3.34,28.5,34.5,-,2021
Aaron Henry,SF,11.68,3.18,3.07,29,35,-,2021
Ariel Hukporti,C,12.2,3.53,3.12,24.5,31,-,2021
Matt Hurt,PF,11.44,3.25,3.34,25.5,32.5,-,2021
Nah'Shon Hyland,SG,10.53,3.17,3.1,26.5,34,-,2021
Isaiah Jackson,C,-,-,-,-,-,-,2021
David Johnson,SG,12.02,3.2,3.03,33,39,-,2021
Jalen Johnson,PF,-,-,-,-,-,-,2021
Keon Johnson,SG,11.45,3.2,3,41.5,48,-,2021
Carlik Jones,PG,10.96,3.23,3.16,31.5,36,-,2021
Kai Jones,PF,-,-,-,-,-,-,2021
Herbert Jones,SF,11.02,3.17,3.25,28.5,36.5,-,2021
Johnny Juzang,SG,11.13,3.08,3.13,31,36.5,-,2021
Corey Kispert,SF,10.91,2.99,3.12,30,37.5,-,2021
Jonathan Kuminga,SF,-,-,-,-,-,-,2021
AJ Lawson,SG-SF,11,3.01,2.98,33,41,-,2021
Scottie Lewis,SF,10.45,3.03,2.98,34,42,-,2021
Isaiah Livers,SF,-,-,-,-,-,-,2021
Makur Maker,C,11.87,3.28,3.34,25.5,31,-,2021
Sandro Mamukelashvili,C,11.63,3.3,3.21,30.5,36.5,-,2021
Tre Mann,PG,-,-,-,-,-,-,2021
Matthew Mayer,PF,-,-,-,-,-,-,2021
Miles McBride,PG,11.08,3.13,3.1,31,38.5,-,2021
Davion Mitchell,PG,-,-,-,-,-,-,2021
Evan Mobley,PF,-,-,-,-,-,-,2021
Isaiah Mobley,PF,12.7,3.5,3.3,26.5,32,-,2021
Moses Moody,SG,-,-,-,-,-,-,2021
Trey Murphy III,SF,11.65,3.32,3.14,34,38,-,2021
Daishen Nix,PG,11.72,3.18,3,29.5,36.5,-,2021
John Petty Jr.,SG,11.51,3.17,3.35,27.5,34,-,2021
Yves Pons,PF,10.89,3.05,3.1,36,42.5,-,2021
